cost,arr_time,sold_out,dep_time,dest_score,dep_score
223.9,0.711805556,0,0.4375,0.285911584,1.007980522
106.98,0.305555556,0,0.270833333,1.01478416,1.007980522
106.98,0.791666667,0,0.756944444,1.01478416,1.007980522
106.98,0.569444444,0,0.527777778,1.01478416,1.007980522
114.8,0.954861111,0,0.84375,1.01478416,1.007980522
114.8,0.881944444,0,0.760416667,1.01478416,1.007980522
114.8,0.920138889,0,0.798611111,1.01478416,1.007980522
114.8,0.486111111,0,0.361111111,1.01478416,1.007980522
114.8,0.503472222,0,0.361111111,1.01478416,1.007980522
114.8,0.631944444,0,0.486111111,1.01478416,1.007980522
114.8,0.739583333,0,0.590277778,1.01478416,1.007980522
114.8,0.840277778,0,0.690972222,1.01478416,1.007980522
126.98,0.677083333,0,0.638888889,1.01478416,1.007980522
134.8,0.375,0,0.229166667,1.01478416,1.007980522
168.8,0.815972222,0,0.690972222,1.01478416,1.007980522
123.3,0.003472222,0,0.770833333,0.939626305,1.007980522
127.8,0.965277778,0,0.756944444,0.939626305,1.007980522
152.8,0.020833333,0,0.673611111,0.939626305,1.007980522
197.8,0.489583333,0,0.270833333,0.939626305,1.007980522
197.8,0.753472222,0,0.520833333,0.939626305,1.007980522
197.8,0.965277778,0,0.638888889,0.939626305,1.007980522
197.8,0.815972222,0,0.486111111,0.939626305,1.007980522
197.8,0.972222222,0,0.625,0.939626305,1.007980522
222.8,0.815972222,0,0.590277778,0.939626305,1.007980522
222.8,0.892361111,0,0.579861111,0.939626305,1.007980522
352.8,0.690972222,0,0.385416667,0.939626305,1.007980522
162.8,0.961805556,0,0.756944444,1.004360488,1.007980522
162.8,0.489583333,0,0.222222222,1.004360488,1.007980522
162.8,0.722222222,0,0.4375,1.004360488,1.007980522
162.8,0.541666667,0,0.232638889,1.004360488,1.007980522
162.8,0.961805556,0,0.638888889,1.004360488,1.007980522
166.9,0.9375,0,0.527777778,1.004360488,1.007980522
211.8,0.75,0,0.444444444,1.004360488,1.007980522
215.9,0.9375,0,0.638888889,1.004360488,1.007980522
248.9,0.9375,0,0.625,1.004360488,1.007980522
285.9,0.822916667,0,0.385416667,1.004360488,1.007980522
120.8,0.993055556,0,0.84375,1.083677905,1.007980522
120.8,0.434027778,0,0.270833333,1.083677905,1.007980522
120.8,0.534722222,0,0.361111111,1.083677905,1.007980522
120.8,0.409722222,0,0.229166667,1.083677905,1.007980522
120.8,0.979166667,0,0.770833333,1.083677905,1.007980522
120.8,0.440972222,0,0.222222222,1.083677905,1.007980522
120.98,0.663194444,0,0.586805556,1.083677905,1.007980522
130.81,0.645833333,0,0.486111111,1.083677905,1.007980522
150.8,0.836805556,0,0.690972222,1.083677905,1.007980522
150.8,0.993055556,0,0.798611111,1.083677905,1.007980522
166.3,0.680555556,0,0.527777778,1.083677905,1.007980522
230.8,0.802083333,0,0.59375,1.083677905,1.007980522
145.98,0.3125,0,0.284722222,1.531576504,1.007980522
145.98,0.9375,0,0.909722222,1.531576504,1.007980522
145.98,0.666666667,0,0.631944444,1.531576504,1.007980522
149.3,0.329861111,0,0.229166667,1.531576504,1.007980522
153.8,0.958333333,0,0.875,1.531576504,1.007980522
153.8,0.336805556,0,0.243055556,1.531576504,1.007980522
153.8,0.46875,0,0.361111111,1.531576504,1.007980522
153.8,0.958333333,0,0.84375,1.531576504,1.007980522
153.8,0.385416667,0,0.263888889,1.531576504,1.007980522
153.8,0.59375,0,0.465277778,1.531576504,1.007980522
153.8,0.809027778,0,0.673611111,1.531576504,1.007980522
153.8,0.965277778,0,0.826388889,1.531576504,1.007980522
169.31,0.559027778,0,0.486111111,1.531576504,1.007980522
169.31,0.708333333,0,0.59375,1.531576504,1.007980522
169.31,0.819444444,0,0.663194444,1.531576504,1.007980522
173.81,0.642361111,0,0.527777778,1.531576504,1.007980522
186.8,0.569444444,0,0.444444444,1.531576504,1.007980522
206.3,0.760416667,0,0.638888889,1.531576504,1.007980522
388.65,0.555555556,0,0.270833333,0.020255801,1.007980522
169.8,0.909722222,0,0.798611111,0.700557355,1.007980522
169.8,0.708333333,0,0.590277778,0.700557355,1.007980522
169.8,0.909722222,0,0.760416667,0.700557355,1.007980522
169.8,0.420138889,0,0.229166667,0.700557355,1.007980522
169.8,0.909722222,0,0.690972222,0.700557355,1.007980522
169.8,0.708333333,0,0.486111111,0.700557355,1.007980522
169.8,0.489583333,0,0.229166667,0.700557355,1.007980522
173.9,0.489583333,0,0.222222222,0.700557355,1.007980522
194.9,0.940972222,0,0.579861111,0.700557355,1.007980522
216.9,0.909722222,0,0.59375,0.700557355,1.007980522
130.81,0.892361111,0,0.690972222,0.908431522,1.007980522
163,0.690972222,0,0.28125,0.908431522,1.007980522
194.8,0.868055556,0,0.663194444,0.908431522,1.007980522
248.9,0.690972222,0,0.381944444,0.908431522,1.007980522
253,0.868055556,0,0.590277778,0.908431522,1.007980522
205.8,0.993055556,0,0.732638889,1.503860255,1.007980522
205.8,0.496527778,0,0.232638889,1.503860255,1.007980522
205.8,0.965277778,0,0.625,1.503860255,1.007980522
