inst#,actual,predicted,error
587,207.8,196.708,-11.092
588,252.8,200.294,-52.506
589,309.9,200.758,-109.142
590,203.9,200.722,-3.178
591,214.8,200.174,-14.626
592,126.8,200.283,73.483
593,168.9,200.365,31.465
594,188.8,200.316,11.516
595,199.4,200.453,1.053
596,325.9,249.646,-76.254
597,156.8,200.095,43.295
598,226.8,200.791,-26.009
599,216.81,207.879,-8.931
600,228.8,200.902,-27.898
601,168.98,199.736,30.756
602,174.9,200.375,25.475
603,261.7,252.399,-9.301
604,220.8,200.641,-20.159
605,86.98,200.197,113.217
606,256.9,196.53,-60.37
607,152.98,199.938,46.958
608,119.8,200.557,80.757
609,177.9,256.805,78.905
610,209.8,197.25,-12.55
611,168.8,196.215,27.415
612,186.3,200.414,14.114
613,?,197.125,?
614,146.98,199.982,53.002
615,114.8,200.745,85.945
616,199.8,208.297,8.497
617,112.98,195.863,82.883
618,187.98,199.855,11.875
619,233.9,200.69,-33.21
620,279.9,200.579,-79.321
621,222.9,200.276,-22.624
622,152.9,196.823,43.923
623,310.9,200.023,-110.877
624,425.9,238.903,-186.997
625,265.9,196.613,-69.287
626,123.98,200.247,76.267
627,141.8,200.704,58.904
628,169.8,200.372,30.572
629,266.9,200.374,-66.526
630,190.3,199.877,9.577
631,439.2,200.629,-238.571
632,186.8,200.487,13.687
633,216.9,257.1,40.2
634,206.8,200.997,-5.803
635,280.8,200.403,-80.397
636,133.89,200.658,66.768
637,327.64,257.971,-69.669
638,113.8,199.817,86.017
639,161.8,200.807,39.007
640,188.9,200.434,11.534
641,95.8,242.995,147.195
642,271.9,200.737,-71.163
643,256.8,200.41,-56.39
644,295,238.359,-56.641
645,178.8,200.246,21.446
646,219.8,200.296,-19.504
647,118.8,199.887,81.087
648,180.9,234.817,53.917
649,121.98,200.146,78.166
650,172.79,200.068,27.278
651,355.1,200.454,-154.646
652,177.8,196.021,18.221
653,339.8,196.122,-143.678
654,297.9,200.627,-97.273
655,179.8,200.574,20.774
656,152.8,199.987,47.187
657,204.9,179.967,-24.933
658,?,200.84,?
659,126.8,200.177,73.377
660,280.8,200.507,-80.293
661,279.14,262.216,-16.924
662,160.8,207.937,47.137
663,328.9,200.452,-128.448
664,212.8,200.609,-12.191
665,138.8,200.499,61.699
666,358.9,200.361,-158.539
667,218.9,200.558,-18.342
668,232,208.143,-23.857
669,345.9,200.724,-145.176
670,231.8,200.122,-31.678
671,223.3,195.949,-27.351
672,242.8,200.847,-41.953
673,215.3,207.23,-8.07
674,126.98,199.798,72.818
675,177.8,207.637,29.837
676,196.8,208.005,11.205
677,233.8,200.744,-33.056
678,221.8,200.726,-21.074
679,178.3,200.025,21.725
680,244,200.558,-43.442
681,357.3,200.501,-156.799
682,269.9,255.406,-14.494
683,102.98,208.146,105.166
684,230.8,200.153,-30.647
685,135.8,200.536,64.736
686,364.9,196.82,-168.08
687,223.8,200.181,-23.619
688,245.8,199.984,-45.816
689,206.9,199.885,-7.015
690,84.98,194.596,109.616
691,169.8,196.381,26.581
692,70.98,207.777,136.797
693,224.8,240.26,15.46
694,342.24,272.649,-69.591
695,276.9,196.456,-80.444
696,136.3,200.36,64.06
697,342.24,274.065,-68.175
698,199.8,200.482,0.682
699,164.8,199.441,34.641
700,293.9,199.605,-94.295
701,204.9,200.455,-4.445
702,167.8,200.257,32.457
703,129.3,196.343,67.043
704,148.8,196.509,47.709
705,300.8,196.733,-104.067
706,145.3,243.838,98.538
707,165.8,200.023,34.223
708,207.8,207.659,-0.141
709,101.8,196.734,94.934
710,195.8,200.186,4.386
711,192.3,200.253,7.953
712,325.8,200.722,-125.078
713,419.8,200.541,-219.259
714,140.97,225.554,84.584
715,224.8,200.63,-24.17
716,167.9,200.122,32.222
717,202.8,239.047,36.247
718,317.28,199.819,-117.461
719,172.79,200.997,28.207
720,171.9,257.276,85.376
721,172.79,195.61,22.82
722,80.98,207.857,126.877
723,296.8,200.656,-96.144
724,239.8,200.541,-39.259
725,209.3,239.478,30.178
726,165.8,200.095,34.295
727,206.8,179.424,-27.376
728,?,197.286,?
729,206.9,207.45,0.55
730,113.98,195.515,81.535
731,138.8,200.49,61.69
732,206.8,226.814,20.014
733,217.81,207.784,-10.026
734,298.8,237.377,-61.423
735,224.8,197.199,-27.601
736,221.8,196.355,-25.445
737,197.8,200.413,2.613
738,198.8,200.533,1.733
739,221.8,199.962,-21.838
740,226.8,238.704,11.904
741,365,196.404,-168.596
742,225.8,200.693,-25.107
743,153.8,200.228,46.428
744,285.9,200.668,-85.232
745,139.98,179.184,39.204
746,240.9,207.666,-33.234
747,175.8,200.091,24.291
748,133.3,200.202,66.902
749,211.8,200.445,-11.355
750,222.9,200.254,-22.646
751,141.8,200.518,58.718
752,186.9,200.171,13.271
753,426.9,199.996,-226.904
754,115.8,200.401,84.601
755,157.98,199.665,41.685
756,161.98,200.214,38.234
757,176.8,200.218,23.418
758,168.8,200.251,31.451
759,339.9,200.859,-139.041
760,162.8,196.58,33.78
761,256.8,241.749,-15.051
762,125.8,200.024,74.224
763,233.3,200.381,-32.919
764,227.8,208.306,-19.494
765,?,259.019,?
766,222.8,199.852,-22.948
767,388.65,252.078,-136.572
768,213.31,200.191,-13.119
769,246.8,200.562,-46.238
770,359.11,200.471,-158.639
771,302.81,235.629,-67.181
772,309.9,200.23,-109.67
773,224.8,200.558,-24.242
774,185.8,200.212,14.412
775,196.3,199.092,2.792
776,293.8,200.641,-93.159
777,275,200.392,-74.608
778,192.8,200.473,7.673
779,198.3,200.016,1.716
780,292.9,258.435,-34.465
781,107.98,179.069,71.089
782,208.9,200.688,-8.212
783,313.9,257.174,-56.726
784,62.98,196.012,133.032
785,268.8,196.029,-72.771
786,81.98,199.577,117.597
787,227.99,199.957,-28.033
788,179.8,200.186,20.386
789,131.81,199.857,68.047
790,241.8,200.339,-41.461
791,194.8,195.495,0.695
792,235.8,196.689,-39.111
793,337.8,208.484,-129.316
794,299.9,200.576,-99.324
795,117.98,200.74,82.76
796,248.8,200.427,-48.373
797,151.8,200.232,48.432
798,163.8,195.619,31.819
799,181.8,200.923,19.123
800,244.8,196.138,-48.662
801,252.8,200.325,-52.475
802,205.3,200.375,-4.925
803,217.81,200.558,-17.252
804,240.9,196.269,-44.631
805,157.8,199.745,41.945
806,111.8,199.978,88.178
807,163.8,199.915,36.115
808,153.8,196.322,42.522
809,96.8,199.634,102.834
810,201.9,200.519,-1.381
811,225.8,200.231,-25.569
812,340,200.979,-139.021
813,155.8,196.032,40.232
814,172.3,195.38,23.08
815,253.8,200.569,-53.231
816,380.51,200.128,-180.382
817,211.8,200.196,-11.604
818,194.8,200.063,5.263
819,189.8,200.675,10.875
820,178.8,207.629,28.829
821,304,208.092,-95.908
822,240.8,208.072,-32.728
823,138.98,196.246,57.266
824,293.3,200.61,-92.69
825,145.8,196.621,50.821
826,218.8,200.094,-18.706
827,196.8,200.413,3.613
828,116.8,196.242,79.442
829,259.81,200.751,-59.059
830,142.9,256.916,114.016
831,157.8,200.051,42.251
832,196.8,196.206,-0.594
833,232.8,200.23,-32.57
834,366.8,199.89,-166.91
835,168.8,199.825,31.025
836,294.8,200.916,-93.884
837,309.9,237.136,-72.764
838,322.8,239.004,-83.796
839,284.8,200.664,-84.136
840,267.8,200.298,-67.502
841,?,200.599,?
842,197.8,235.177,37.377
843,179.8,196.906,17.106
844,172.79,199.878,27.088
845,381.9,200.554,-181.346
846,135.3,199.717,64.417
847,198.8,241.154,42.354
848,253.3,243.302,-9.998
849,103.8,200.249,96.449
850,101.8,207.644,105.844
851,212.8,200.433,-12.367
852,212.8,200.283,-12.517
853,220.8,200.004,-20.796
854,144.8,200.464,55.664
855,184.8,196.225,11.425
856,233.8,199.773,-34.027
857,316.8,200.308,-116.492
858,238.3,200.101,-38.199
859,197.8,197.111,-0.689
860,203.9,200.533,-3.367
861,?,200.264,?
862,179.3,200.013,20.713
863,179.8,200.013,20.213
864,161.3,199.999,38.699
865,169.98,199.647,29.667
866,130.81,200.349,69.539
867,312.9,200.513,-112.387
868,189.8,196.365,6.565
869,281.9,258.216,-23.684
870,173.81,196.914,23.104
871,236.8,239.048,2.248
872,196.8,196.47,-0.33
873,224.8,200.194,-24.606
874,341.8,238.827,-102.973
875,197.3,200.311,3.011
876,106.8,199.854,93.054
877,158.8,195.801,37.001
878,206.8,200.11,-6.69
879,179.8,200.024,20.224
880,221.98,200.358,-21.622
881,236.8,200.046,-36.754
882,179.8,199.948,20.148
883,313.8,235.099,-78.701
884,224.3,195.93,-28.37
885,171.8,200.588,28.788
886,205.9,200.218,-5.682
887,172.79,207.24,34.45
888,263.91,207.723,-56.187
889,312.9,208.79,-104.11
890,95.98,199.086,103.106
891,290.9,197.489,-93.411
892,130.81,195.74,64.93
893,152.8,200.464,47.664
894,211.4,200.328,-11.072
895,328.8,208.528,-120.272
896,185.9,200.49,14.59
897,229.9,208.438,-21.462
898,210.98,199.858,-11.122
899,177.8,200.554,22.754
900,93.98,207.874,113.894
901,64.98,196.392,131.412
902,?,208.502,?
903,203.8,200.542,-3.258
904,293.9,201.177,-92.723
905,274.9,200.116,-74.784
906,221.8,196.223,-25.577
907,184.8,200.521,15.721
908,214.8,196.099,-18.701
909,443.9,251.817,-192.083
910,294.8,208.472,-86.328
911,147.8,177.98,30.18
912,155.3,199.989,44.689
913,296.44,259.033,-37.407
914,181.8,196.906,15.106
915,88.81,179.428,90.618
916,192.8,200.517,7.717
917,181.8,207.599,25.799
918,346.9,238.664,-108.236
919,152.98,196.209,43.229
920,156.8,199.517,42.717
921,237.9,200.61,-37.29
922,232.8,199.443,-33.357
923,278.8,195.899,-82.901
924,112.98,196.411,83.431
925,250.8,196.797,-54.003
926,146.8,200.051,53.251
927,276.8,238.294,-38.506
928,221.8,199.989,-21.811
929,173.81,200.64,26.83
930,245.8,200.441,-45.359
931,145.98,199.551,53.571
932,168.8,199.976,31.176
933,?,200.969,?
934,129.79,200.46,70.67
935,207.8,200.467,-7.333
936,213.9,200.827,-13.073
937,183.8,200.263,16.463
938,117.8,200.746,82.946
939,148.8,200.003,51.203
940,203.3,200.065,-3.235
941,358.8,240.183,-118.617
942,252.8,200.326,-52.474
943,229.8,197.104,-32.696
944,283.3,258.228,-25.072
945,210.3,195.726,-14.574
